outside_temp,outside_humidity,inside_temp,inside_humidity,season
-2.1,57.5,40.3,26.0,winter
13.6,57.6,39.2,27.3,winter
19.7,75.1,42.2,34.6,winter
12.3,68.0,42.5,37.2,winter
29.5,60.4,44.5,40.0,winter
22.8,58.1,46.9,40.3,winter
29.0,52.5,45.6,35.5,winter
36.2,56.1,48.9,37.3,winter
37.5,53.7,51.1,38.9,winter
37.0,76.5,52.9,40.2,winter
37.4,90.3,55.2,47.8,winter
29.7,69.3,52.1,51.7,winter
37.0,83.4,51.4,50.8,winter
38.7,88.3,53.0,56.4,winter
28.7,69.8,53.7,48.4,winter
26.9,70.1,50.6,40.7,winter
31.5,78.5,49.9,43.3,winter
25.0,50.7,48.9,39.2,winter
28.9,78.4,50.0,38.6,winter
26.2,69.8,51.5,51.6,winter
24.5,56.7,48.5,43.9,winter
27.3,70.6,50.7,40.8,winter
24.5,79.8,51.0,39.1,winter
18.4,71.2,45.7,41.3,winter
13.7,75.7,44.5,40.0,winter
30.9,79.7,46.4,46.7,winter
26.2,76.4,46.5,48.7,winter
6.4,55.9,43.9,45.0,winter
7.1,60.8,40.9,38.8,winter
12.0,60.6,41.8,39.7,winter
15.9,61.6,42.5,38.3,winter
18.0,68.8,44.3,36.6,winter
24.3,60.9,46.3,38.6,winter
31.4,66.8,46.6,40.8,winter
42.0,67.5,50.5,47.0,winter
41.3,74.3,53.8,51.0,winter
38.5,81.5,55.2,49.9,winter
38.5,79.0,55.1,51.6,winter
44.4,54.7,55.7,44.4,winter
23.7,64.2,56.9,41.1,spring
25.4,55.7,50.2,37.1,spring
35.7,53.8,50.2,37.5,spring
43.8,82.6,53.2,47.7,spring
40.9,85.2,55.2,64.1,spring
31.7,61.5,53.5,56.0,spring
33.6,86.2,53.6,52.1,spring
36.9,67.2,53.0,52.5,spring
35.5,67.5,54.4,50.3,spring
51.2,47.1,56.6,49.4,spring
44.5,56.3,59.2,46.2,spring
42.7,45.4,57.5,41.6,spring
47.5,53.3,57.9,42.3,spring
60.8,54.5,59.9,46.6,spring
42.2,40.5,66.5,52.5,spring
34.8,82.9,62.6,51.6,spring
25.3,31.4,57.1,46.2,spring
56.4,49.7,59.4,45.7,spring
53.1,69.6,61.8,50.1,spring
33.8,77.8,58.5,52.1,spring
42.4,54.3,56.5,52.6,spring
38.8,63.9,60.2,48.6,spring
39.5,71.7,57.3,47.2,spring
38.9,56.2,54.4,45.5,spring
36.8,59.3,54.7,41.1,spring
39.7,53.9,56.9,43.4,spring
46.8,59.0,56.0,46.0,spring
60.1,60.3,58.9,50.7,spring
59.9,84.3,62.0,56.7,spring
40.4,48.6,61.9,64.4,spring
37.1,43.6,59.1,60.9,spring
36.6,68.4,56.2,51.3,spring
48.4,59.9,58.2,53.8,spring
51.9,49.3,61.8,57.9,spring
45.3,76.7,62.9,52.0,spring
43.9,80.0,58.8,54.5,spring
41.4,50.0,56.6,51.3,spring
36.2,60.0,56.7,45.7,spring
33.1,48.2,57.1,38.8,spring
37.2,69.0,58.8,40.7,spring
42.4,79.3,57.7,45.3,spring
41.8,58.7,59.1,43.9,spring
47.5,50.5,60.0,39.2,spring
55.8,44.5,60.4,42.9,spring
57.9,47.0,65.1,42.5,spring
45.4,62.4,62.9,41.9,spring
40.9,61.1,60.7,44.0,spring
51.3,56.0,62.3,44.2,spring
69.2,60.0,66.4,52.1,spring
53.3,81.7,66.2,57.8,spring
55.1,63.5,63.2,52.3,spring
55.9,77.3,65.0,52.9,spring
57.9,61.0,64.9,48.5,spring
63.5,62.6,67.4,55.9,spring
62.7,57.0,69.6,53.8,spring
49.5,82.0,68.9,49.7,spring
44.0,75.0,64.9,48.0,spring
53.4,57.2,61.7,46.7,spring
67.5,50.3,64.9,48.2,spring
68.1,58.1,73.7,53.4,spring
55.7,60.5,71.9,45.8,spring
63.2,80.9,70.6,54.3,spring
55.1,80.8,69.4,59.8,spring
49.3,75.5,66.3,52.3,spring
46.9,83.3,63.3,50.6,spring
52.5,84.2,62.7,55.7,spring
56.4,75.1,67.8,53.8,spring
57.5,71.0,70.6,55.7,spring
52.2,74.4,67.5,52.9,spring
50.0,50.2,66.7,45.6,spring
53.5,50.9,65.7,41.7,spring
61.6,54.9,66.7,43.9,spring
66.7,59.5,70.5,46.3,spring
66.2,84.1,72.4,56.4,spring
65.9,87.9,72.8,60.2,spring
73.8,75.1,72.6,62.6,spring
73.5,50.7,73.5,59.6,spring
61.9,52.0,73.2,48.9,spring
55.5,69.9,69.6,48.8,spring
53.2,75.4,67.7,49.5,spring
53.0,86.7,66.6,52.9,spring
52.5,95.6,65.2,59.7,spring
48.8,81.2,64.0,59.9,spring
49.7,71.4,64.2,56.6,spring
55.8,62.5,63.9,55.5,spring
56.2,66.0,65.0,55.0,spring
58.4,61.0,65.6,53.7,spring
63.8,54.3,65.6,54.5,spring
56.9,87.0,66.4,60.8,spring
57.4,83.7,65.4,66.9,spring
63.4,68.5,69.5,62.1,spring
52.9,69.6,65.6,62.8,spring
55.3,52.7,64.7,56.1,summer
66.0,45.3,69.5,48.6,summer
76.8,51.5,75.5,50.5,summer
62.6,89.8,76.1,60.3,summer
61.7,88.5,72.6,67.5,summer
66.0,75.0,74.1,62.0,summer
67.3,68.5,74.8,59.4,summer
68.6,74.9,73.7,60.0,summer
64.4,65.5,74.8,60.7,summer
66.0,59.7,74.7,50.4,summer
74.7,56.3,79.3,49.3,summer
75.3,66.7,81.4,51.5,summer
68.3,82.8,79.9,54.1,summer
67.9,77.3,76.7,55.6,summer
70.9,67.9,72.6,56.9,summer
74.9,64.9,75.0,55.5,summer
78.4,72.7,81.7,54.8,summer
71.3,88.6,83.7,57.9,summer
70.2,81.8,80.1,61.1,summer
75.3,71.6,81.0,57.5,summer
83.7,66.5,81.7,59.7,summer
85.3,67.0,80.6,61.8,summer
85.3,65.8,80.7,63.1,summer
85.1,69.1,82.0,62.3,summer
81.2,72.1,83.2,63.9,summer
81.1,73.6,84.1,62.3,summer
79.8,73.1,81.4,69.7,summer
76.8,72.3,82.1,60.7,summer
79.6,72.2,81.3,58.8,summer
81.4,71.9,77.9,62.8,summer
76.7,64.0,79.1,60.7,summer
77.7,60.4,78.4,57.4,summer
80.2,62.3,80.0,59.4,summer
79.3,67.4,78.8,58.2,summer
82.3,61.8,79.0,59.9,summer
79.0,75.4,77.5,63.2,summer
71.5,77.7,78.4,59.8,summer
74.3,73.5,79.4,57.0,summer
74.3,83.3,81.3,59.2,summer
76.8,71.8,79.2,62.8,summer
79.7,75.3,81.6,61.9,summer
78.2,73.5,82.7,59.3,summer
75.3,71.0,77.1,60.5,summer
72.5,72.5,77.2,59.7,summer
78.9,69.5,78.9,60.9,summer
78.3,81.6,80.1,62.2,summer
70.7,79.6,79.4,61.7,summer
72.4,71.3,77.6,59.6,summer
75.6,88.1,78.0,70.3,summer
72.6,89.2,76.7,67.3,summer
72.9,76.3,77.6,65.1,summer
73.7,68.9,78.6,62.4,summer
79.3,74.0,79.7,61.5,summer
81.8,76.2,83.8,64.1,summer
76.1,90.8,82.3,65.2,summer
75.4,91.2,81.2,68.4,summer
78.8,87.2,79.0,71.3,summer
79.8,86.8,81.9,70.7,summer
80.1,77.3,82.1,67.1,summer
75.1,86.7,84.7,64.5,summer
68.0,82.1,79.8,64.1,summer
67.4,71.5,79.6,60.8,summer
67.8,66.5,75.9,58.4,summer
67.8,68.9,74.5,59.0,summer
69.6,71.4,75.2,59.3,summer
72.1,72.2,75.7,59.7,summer
74.3,75.3,75.7,63.0,summer
77.6,77.0,76.3,63.6,summer
80.1,73.8,78.7,63.3,summer
76.2,71.7,79.3,66.5,summer
80.7,73.5,82.3,62.9,summer
77.9,79.3,84.5,59.4,summer
75.2,85.8,82.0,62.9,summer
76.0,75.6,80.3,66.2,summer
73.3,73.6,80.5,60.8,summer
76.8,75.0,81.6,59.2,summer
79.9,79.5,82.4,60.7,summer
76.3,82.6,79.4,66.8,summer
74.9,84.4,79.2,65.5,summer
73.7,87.8,81.2,68.5,summer
70.8,78.8,77.7,66.7,summer
69.7,81.2,78.2,62.8,summer
65.1,85.5,78.6,63.2,summer
72.2,73.5,78.3,62.6,summer
66.0,65.4,77.2,59.7,summer
61.8,67.0,75.0,55.6,summer
62.2,65.0,77.1,51.7,summer
63.3,68.5,76.9,49.0,summer
66.1,78.6,77.5,52.1,summer
61.1,71.2,77.4,48.3,summer
62.6,76.4,74.4,51.4,summer
63.6,70.7,73.3,53.5,summer
65.2,70.3,74.3,52.5,fall
65.7,75.3,78.0,50.8,fall
